gender,name,variant,base_name,usage_note,declension,genitive,patr_old_m,patr_old_f,patr_m,patr_f,source
М,Аарон,Арон,,,"-а, м.; разг. Арон 2, -а.",Аарона,Ааронов,Ааронова,Ааронович,Аароновна,Словарь русских личных имен Петровского
М,Абагор,,,Стар. редк.,"-а, м. Стар. редк.",Абагора,Абагоров,Абагорова,Абагорович,Абагоровна,Словарь русских личных имен Петровского
М,Абакум,,Аввакум,Разг.,"-а, м. Разг. к Аввакум (см.).",Абакума,Абакумов,Абакумова,Аввакумович,Аввакумовна,(для варианта целевого современного отчества)
М,Абакум,,Аввакум,Разг.,"-а, м. Разг. к Аввакум (см.).",Абакума,Абакумов,Абакумова,Абакумович,Абакумовна,Словарь русских личных имен Петровского
М,Абамон,,,Стар. редк.,"-а, м. Стар. редк.",Абамона,Абамонов,Абамонова,Абамонович,Абамоновна,Словарь русских личных имен Петровского
М,Абдаикл,,,Стар. редк.,"-а, м. Стар. редк.",Абдаикла,Абдаиклов,Абдаиклова,Абдаиклович,Абдаикловна,Словарь русских личных имен Петровского
Ж,Абия,,Авия,Стар.,"-и, ж. Стар. форма имени Авия (см.).",Абии,,,,,Словарь русских личных имен Петровского
М,Абнодий,,,,,,Абнодьев,Абнодьева,Абнодиевич,Абнодиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Абнодий,,,Стар. редк.,"-я, м. Стар. редк.",Абнодия,Абнодиев,Абнодиева,Абнодиевич,Абнодиевна,Словарь русских личных имен Петровского
М,Абрам,,Авраам,Разг.,"-а, м. Разг. к Авраам (см.).",Абрама,Абрамов,Абрамова,Авраамович,Авраамовна,(для варианта целевого современного отчества)
М,Абрам,,Авраам,Разг.,"-а, м. Разг. к Авраам (см.).",Абрама,Абрамов,Абрамова,Абрамович,Абрамовна,Словарь русских личных имен Петровского
М,Абрамий,,Авраамий,Разг.,"-я, м. Разг. к Авраамий (см.).",Абрамия,Абрамиев,Абрамиева,Авраамиевич,Авраамиевна,(для варианта целевого современного отчества)
М,Абрамий,,,,,,Абрамьев,Абрамьева,Абрамиевич,Абрамиевна,"(для вариантов преобразования ""старого"" отчества в ""новое"")"
М,Абрамий,,Авраамий,Разг.,"-я, м. Разг. к Авраамий (см.).",Абрамия,Абрамиев,Абрамиева,Абрамиевич,Абрамиевна,Словарь русских личных имен Петровского
М,Абросим,,Амвросий,Разг.,"-а, м.. Разг. к Амвросий (см.).",Абросима,Абросимов,Абросимова,Амвросиемич,Амвросиемовна,(для варианта целевого современного отчества)
М,Абросим,,Амвросий,Разг.,"-а, м.. Разг. к Амвросий (см.).",Абросима,Абросимов,Абросимова,Абросимович,Абросимовна,Словарь русских личных имен Петровского
М,Абсей,,Авсей,Стар. форма имени,"-я, м. Стар. форма имени Авсей  1 (см.)",Абсея,Абсеев,Абсеева,Авсеевич,Авсеевна,(для варианта целевого современного отчества)
М,Абсей,,Авсей,Стар. форма имени,"-я, м. Стар. форма имени Авсей  1 (см.)",Абсея,Абсеев,Абсеева,Абсеевич,Абсеевна,Словарь русских личных имен Петровского
М,Аввакир,,,Стар. редк.,"-а, м. Стар. редк.",Аввакира,Аввакиров,Аввакирова,Аввакирович,Аввакировна,Словарь русских личных имен Петровского
М,Аввакум,Абакум,,,"-а, м.; разг. Абакум, -а.",Аввакума,Аввакумов,Аввакумова,Аввакумович,Аввакумовна,Словарь русских личных имен Петровского
