name,np_type,guberniya,uyezd,volost,short_location,full_location,familio_url
"д.Балахонка, Заобнорская волость",д.,Ярославская,Любимский,Заобнорская,д. Балахонка,"д. Балахонка, Заобнорская волость, Любимский уезд, Ярославская губерния",https://familio.org/settlements/5978e368-5258-438a-87fc-0ddbece90885
"д.Белоглазово, Заобнорская волость",д.,Ярославская,Любимский,Заобнорская,д. Белоглазово,"д. Белоглазово, Заобнорская волость, Любимский уезд, Ярославская губерния",https://familio.org/settlements/f2637404-c7db-4d10-8d89-d05b5541cf36
Борисоглебское,с.,Костромская,Макарьевский,Завражная,с. Борисоглебское,"с. Борисоглебское, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/66d127b2-afd3-4982-a106-7354bc0bdf8e
Чертеж Малый,д.,Костромская,Макарьевский,Завражная,д. Чертеж Малый,"д. Чертеж Малый, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/738c6a34-3450-484e-9c2d-139a75825580
Чертеж Большой,д.,Костромская,Макарьевский,Завражная,д. Чертеж Большой,"д. Чертеж Большой, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/b37821d8-7ac0-4c96-bbd0-67bc024d8cd3
Кнышево,д.,Костромская,Макарьевский,Завражная,д. Кнышево,"д. Кнышево, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/4a669185-0095-494a-8373-71cd6470c0d6
Поселихино,д.,Костромская,Макарьевский,Завражная,д. Поселихино,"д. Поселихино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/3b6a1f25-43fa-4c55-8b4e-1759a89cda29
Логинцево,д.,Костромская,Макарьевский,Завражная,д. Логинцево,"д. Логинцево, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/2cbc400e-d578-4210-8dae-b5db303d33e9
Воспица,д.,Костромская,Макарьевский,Завражная,д. Воспица,"д. Воспица, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/db0f839f-f909-40ea-af5c-58dee130116a
Фетинино,д.,Костромская,Макарьевский,Завражная,д. Фетинино,"д. Фетинино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/644007a0-af8a-48fb-bb95-72615388d8fa
Архипиха,д.,Костромская,Макарьевский,Завражная,д. Архипиха,"д. Архипиха, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/dd21c856-8037-4e38-8c27-a9ff9b3ef9cd
Смотрина,д.,Костромская,Макарьевский,Завражная,д. Смотрина,"д. Смотрина, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/b70fc9c0-e00a-4b64-b840-1e3927d9b212
Богоявленье,с.,Костромская,Солигаличский,Нероновская,с. Богоявленье,"с. Богоявленье, Нероновская волость, Солигаличский уезд, Костромская губерния",https://familio.org/settlements/5aa6de03-08e8-45c2-8b13-dcbdacf18064
Костиха,д.,Костромская,Макарьевский,Завражная,д. Костиха,"д. Костиха, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/2076afb9-01ad-471e-bdd9-ecebe4be7e83
Кулюкино,д.,Костромская,Макарьевский,Завражная,д. Кулюкино,"д. Кулюкино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/52a6789b-67b8-4e76-9630-e79aaafb94c1
Малово,д.,Костромская,Макарьевский,Завражная,д. Малово,"д. Малово, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/8e951854-6195-4122-b32e-474507a1c165
Костино,д.,Костромская,Макарьевский,Завражная,д. Костино,"д. Костино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/ce45aa3a-dfff-4213-a01a-9fdbff3604ca
Ушаково,д.,Костромская,Макарьевский,Завражная,д. Ушаково,"д. Ушаково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/6bb5756f-6bbf-44db-bde0-893cb0b1fe48
Голодаево,д.,Костромская,Макарьевский,Завражная,д. Голодаево,"д. Голодаево, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/dec1fbd3-861e-44ae-9aa9-563da375c1ef
Васильково,д.,Костромская,Макарьевский,Завражная,д. Васильково,"д. Васильково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/b3f9d33f-5860-4c85-824a-2d26888a8851
Коряковка,д.,Костромская,Макарьевский,Завражная,д. Коряковка,"д. Коряковка, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/f6dca1ce-ac56-4519-968a-061eeb10ed5e
Митино,д.,Костромская,Макарьевский,Завражная,д. Митино,"д. Митино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/9549fc00-2620-410b-bd57-23935b777a17
Куриловская,д.,Костромская,Макарьевский,Завражная,д. Куриловская,"д. Куриловская, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/caa80869-149e-467c-99c7-71154709360e
Шилекша,с.,Костромская,Кинешемский,Шевалдовская,с. Шилекша,"с. Шилекша, Шевалдовская волость, Кинешемский уезд, Костромская губерния",https://familio.org/settlements/7d0b18d6-6b8d-4458-8620-c5d70723b906
Нагорное,с.,Костромская,Кинешемский,Шевалдовская,с. Нагорное,"с. Нагорное, Шевалдовская волость, Кинешемский уезд, Костромская губерния",https://familio.org/settlements/9e00b94b-df03-4360-8f31-2fded63fd8be
Нехайка,д.,Костромская,Макарьевский,Завражная,д. Нехайка,"д. Нехайка, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/fb8e7b99-acbb-43d4-8fc2-a3d35ef6c1c9
Хмельничное,д.,Костромская,Макарьевский,Завражная,д. Хмельничное,"д. Хмельничное, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/3e001f0e-da24-4cf3-97a4-fa972df0f03c
Деготница,д.,Костромская,Кинешемский,Ильинская,д. Деготница,"д. Деготница, Ильинская волость, Кинешемский уезд, Костромская губерния",https://familio.org/settlements/0e3d7719-506b-47ac-89d4-401225d96b43
Большое Волково,д.,Костромская,Макарьевский,Завражная,д. Большое Волково,"д. Большое Волково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/cd898f33-ac51-4eb0-a0d5-679609bb5282
Нередищи,д.,Костромская,Макарьевский,Завражная,д. Нередищи,"д. Нередищи, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/d1c8ddf0-b9de-4919-801f-881386a557f8
Загнетино (Поздеевка),д.,Костромская,Юрьевецкий,Мордвиновская,д. Загнетино (Поздеевка),"д. Загнетино (Поздеевка), Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/39d6bf25-9128-4e33-8ac2-5be9e1127bdf
Горицы,д.,Костромская,Макарьевский,Завражная,д. Горицы,"д. Горицы, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/46431a17-c465-408d-b469-d2acf5cb3c54
Старово,д.,Костромская,Макарьевский,Завражная,д. Старово,"д. Старово, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/c80ad60e-0c47-4952-b51a-f8bcdef8e7ce
Унжанка,д.,Костромская,Юрьевецкий,Мордвиновская,д. Унжанка,"д. Унжанка, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/d3aa12f4-904a-498d-9602-d11944799a89
Быково,д.,Костромская,Макарьевский,Завражная,д. Быково,"д. Быково, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/ede0923b-c830-4a0a-bc52-165ddd757975
Ярцево,д.,Костромская,Юрьевецкий,Мордвиновская,д. Ярцево,"д. Ярцево, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/e3993456-5b67-430d-9ca2-60ea021fc876
Макаровская,д.,Костромская,Макарьевский,Завражная,д. Макаровская,"д. Макаровская, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/b533a2aa-80d7-4b6a-a2b7-e0a795254801
Столпино,с.,Костромская,Макарьевский,Завражная,с. Столпино,"с. Столпино, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/42cc7566-47ea-4d8b-b545-3f17bdbaa989
Карпиха,д.,Костромская,Юрьевецкий,Мордвиновская,д. Карпиха,"д. Карпиха, Мордвиновская волость, Юрьевецкий уезд, Костромская губерния",https://familio.org/settlements/34aaee05-af14-4957-815a-206e5fd34dd3
Петровка,д.,Костромская,Макарьевский,Завражная,д. Петровка,"д. Петровка, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/85f1e7a1-79b6-4ae6-babd-af6483d40388
Кондома,с.,Костромская,Макарьевский,Завражная,с. Кондома,"с. Кондома, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/5cdf45e4-f458-4bd7-8f46-caacacde235c
Деревнищи,д.,Костромская,Макарьевский,Завражная,д. Деревнищи,"д. Деревнищи, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/538a05df-cd30-4720-aa16-4499043c19fd
Завражье,с.,Костромская,Макарьевский,Завражная,с. Завражье,"с. Завражье, Завражная волость, Макарьевский уезд, Костромская губерния",https://familio.org/settlements/28cf21b3-43f6-4e30-9f0d-f63da3b7115e
