code,title,section,sort_order,gender,age_min,age_max
child,ребенок,1,10,,,
father,родитель (отец),1,20,М,17,55
mother,родитель (мать),1,30,Ж,17,55
godparent1,восприемник 1,1,40,,6,60
godparent2,восприемник 2,1,50,,6,60
groom,жених,2,10,М,17,60
bride,невеста,2,20,Ж,17,60
groom_relative,родственник жениха,2,30,,17,60
bride_parent,родитель невесты,2,40,,17,60
bride_relative,родственник невесты,2,50,,17,60
witness1,поручитель 1,2,60,,17,60
witness2,поручитель 2,2,70,,17,60
witness3,поручитель 3,2,80,,17,60
witness4,поручитель 4,2,90,,17,60
deceased,умерший,3,10,,,
deceased_parent,родитель умершего,3,20,,17,55
deceased_spouse,супруг умершего,3,30,,17,60
deceased_relative,родственник умершего,3,40,,17,60
clergy1,церковнослужитель 1,0,100,М,,
clergy2,церковнослужитель 2,0,110,М,,
clergy3,церковнослужитель 3,0,120,М,,
